Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100nF,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D27, D28, D29, D3, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",D_SOD-123,32,1N4148W,
D36,0402,1,PWR LED,C130724
D37,0402,1,PMEG2010EA,C2837790
F1,0402,1,500mA,C210357
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C2765186
R1,0402,1,10k,C25744
R2,0402,1,1k,C11702
"R4, R5",0402,2,5.1k,C25905
SW37,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C115357
SW38,SW_Push_SPST_NO_Alps_SKRK,1,RESET,C115357
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C111367
U2,SOT-23-6,1,USBLC6-2SC6,C2687116
